Block,Lot,Ward,Sect,CityTax,StateTax,ResCode,AmountDue,PoliceDistrict,CouncilDistrict
17,46,15,140,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,1,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,2,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,3,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,4,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,5,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,6,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
1484,77,8,170,$269.76,$13.44,NOT A PRINCIPAL RESIDENCE,$316.38,EASTERN,13
936,64,24,20,$3418.47,$170.32,NOT A PRINCIPAL RESIDENCE,$3625.32,SOUTHERN,11
18,7,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
195,51,19,60,$92.17,$4.59,NOT A PRINCIPAL RESIDENCE,$116.32,WESTERN,9
27,66,15,90,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,67,15,90,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,68,15,90,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
938,65,21,120,$7557.03,$376.51,NOT A PRINCIPAL RESIDENCE,$7933.56,SOUTHERN,10
27,71,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,72,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,8,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,74,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,75,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,76,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,77,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,78,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,79,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,80,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,81,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,82,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,83,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,84,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,85,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,86,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,87,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,88,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,89,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
27,90,15,90,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
263,54,19,120,$112.40,$5.60,NOT A PRINCIPAL RESIDENCE,$142.90,SOUTHERN,9
18,10,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,11,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,12,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
509,60,11,90,$5709.92,$284.48,NOT A PRINCIPAL RESIDENCE,$6534.61,CENTRAL,11
18,14,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,15,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,18,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,19,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,20,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,22,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,23,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,24,15,380,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,25,15,380,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,27,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,28,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,29,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
948,66,23,50,$181.35,$9.04,NOT A PRINCIPAL RESIDENCE,$190.40,SOUTHERN,11
18,31,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,32,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
938,87,21,120,$2424.85,$120.81,PRINCIPAL RESIDENCE      ,$1214.79,SOUTHERN,10
18,34,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,35,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
938,106H,21,120,$2991.35,$149.04,PRINCIPAL RESIDENCE      ,$1483.61,SOUTHERN,10
1486,48,8,160,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,EASTERN,13
1486,50,8,160,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,EASTERN,13
948,67,23,50,$181.35,$9.04,NOT A PRINCIPAL RESIDENCE,$190.40,SOUTHERN,11
18,37,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
948,68,23,50,$181.35,$9.04,NOT A PRINCIPAL RESIDENCE,$190.40,SOUTHERN,11
35,82,15,100,$809.28,$40.32,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,1,15,110,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
338,58,14,90,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$37.40,CENTRAL,11
349,2,14,130,$1578.10,$78.62,NOT A PRINCIPAL RESIDENCE,$1861.86,CENTRAL,11
0036A,4,15,110,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,5,15,110,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,6,15,110,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
0036A,7,15,110,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
0036A,8,15,110,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
0036A,9,15,110,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,10,15,110,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
0036A,11,15,110,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,12,15,110,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,13,15,110,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1487,25,8,160,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,EASTERN,13
0036A,15,15,110,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,16,15,110,$67.44,$3.36,PRINCIPAL RESIDENCE      ,,WESTERN,7
0036A,17,15,110,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
0036A,18,15,110,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
0036A,19,15,110,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,20,15,110,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,21,15,110,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0036A,22,15,110,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,39,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,40,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
949,10,23,40,$46013.57,$2292.49,NOT A PRINCIPAL RESIDENCE,$48306.08,SOUTHERN,11
18,42,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,43,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
359,26,14,100,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$37.40,CENTRAL,11
18,45,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,46,15,380,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
18,47,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,001A,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,$505.48,WESTERN,7
18,49,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,50,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
4179E,45,26,370,$2316.18,$115.40,PRINCIPAL RESIDENCE      ,$1104.20,NORTHEASTERN,13
18,52,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,53,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
362,17,14,120,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,$564.72,CENTRAL,11
389,9,12,90,$3369.75,$167.89,NOT A PRINCIPAL RESIDENCE,$3861.03,CENTRAL,12
18,56,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,57,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,59,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
18,61,15,380,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,1,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,3,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
1504,62,8,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,13
949,47,23,40,$5075.24,$252.86,PRINCIPAL RESIDENCE      ,$658.72,SOUTHERN,11
950,10,23,40,$6384.32,$318.08,NOT A PRINCIPAL RESIDENCE,$3353.98,SOUTHERN,11
4281,28,28,10,$3256.61,$162.25,NOT A PRINCIPAL RESIDENCE,$31.99,NORTHWESTERN,5
950,44,23,40,$12187.91,$607.23,NOT A PRINCIPAL RESIDENCE,$11973.88,SOUTHERN,11
950,48,23,40,$8347.57,$415.89,NOT A PRINCIPAL RESIDENCE,$8763.48,SOUTHERN,11
19,7,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
389,22,12,90,$4531.97,$225.79,NOT A PRINCIPAL RESIDENCE,$5188.84,CENTRAL,12
19,9,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4421A,015A,27,230,$3084.26,$153.66,PRINCIPAL RESIDENCE      ,$1489.39,NORTHWESTERN,5
19,11,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,12,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,13,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,14,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,15,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
4426A,4,27,230,$2660.13,$132.53,PRINCIPAL RESIDENCE      ,$494.78,NORTHWESTERN,5
19,17,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,18,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,19,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
389,44,12,90,$6748.50,$336.22,NOT A PRINCIPAL RESIDENCE,$367.42,CENTRAL,12
19,21,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,22,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,23,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,24,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,25,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,26,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,27,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
6288,14,26,150,$1663.52,$82.88,NOT A PRINCIPAL RESIDENCE,$360.86,SOUTHEASTERN,1
19,30,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,31,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,32,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,33,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,34,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,35,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
409,13,12,90,$6609.12,$329.28,PRINCIPAL RESIDENCE      ,,CENTRAL,12
118,90,20,220,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$406.50,WESTERN,9
19,38,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,39,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,40,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,41,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,42,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,43,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,44,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
951,48,24,20,$3099.99,$154.45,NOT A PRINCIPAL RESIDENCE,$3254.46,SOUTHERN,11
19,46,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,47,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
4612,26,27,190,$412.13,$20.53,PRINCIPAL RESIDENCE      ,$107.17,NORTHWESTERN,6
19,49,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
118,91,20,220,$97.41,$4.85,NOT A PRINCIPAL RESIDENCE,$125.30,WESTERN,9
19,52,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
951,27,24,20,$6466.75,$322.19,PRINCIPAL RESIDENCE      ,$2880.76,SOUTHERN,11
19,55,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,56,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,57,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,51,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,58,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
19,59,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
0719B,4,20,110,$337.20,$16.80,PRINCIPAL RESIDENCE      ,$369.59,SOUTHERN,9
0719B,28,20,110,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$406.50,SOUTHERN,9
19,62,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,63,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,64,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,65,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
5137J,23,27,570,$3053.53,$152.13,PRINCIPAL RESIDENCE      ,$1345.55,NORTHERN,4
19,68,15,380,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
962,31,23,70,$36802.75,$1833.59,NOT A PRINCIPAL RESIDENCE,$38636.36,SOUTHERN,11
19,068B,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
5000,18,27,670,$12405.21,$618.05,PRINCIPAL RESIDENCE      ,$6240.83,NORTHERN,4
19,068D,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,068E,15,380,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,068F,15,380,$1034.08,$51.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
952,32,24,40,$6477.23,$322.71,PRINCIPAL RESIDENCE      ,$2877.76,SOUTHERN,11
19,068H,15,380,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
19,69,15,380,$4563.44,$227.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1504,023M,8,160,$337.20,$16.80,PRINCIPAL RESIDENCE      ,$40.44,EASTERN,13
20,3,15,80,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,4,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,5,15,80,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,6,15,80,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
72,002B,16,40,$1079.04,$53.76,PRINCIPAL RESIDENCE      ,,,
5165D,26,27,490,$1085.78,$54.10,NOT A PRINCIPAL RESIDENCE,$22.26,NORTHERN,4
20,8,15,80,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
5165D,27,27,490,$1112.76,$55.44,NOT A PRINCIPAL RESIDENCE,$22.81,NORTHERN,4
20,10,15,80,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,11,15,80,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,12,15,80,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,13,15,80,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
5177,10,27,480,$2436.83,$121.41,PRINCIPAL RESIDENCE      ,$29.79,NORTHERN,4
918,11,23,10,$3527.85,$175.76,NOT A PRINCIPAL RESIDENCE,$4041.63,SOUTHERN,11
962,14,23,70,$5252.83,$261.71,PRINCIPAL RESIDENCE      ,$4263.34,SOUTHERN,11
964,32,23,50,$8415.01,$419.25,NOT A PRINCIPAL RESIDENCE,$9010.44,SOUTHERN,11
20,18,15,80,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,19,15,80,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,21,15,80,$67.44,$3.36,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,24,15,80,$67.44,$3.36,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,25,15,80,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,26,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,27,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,29,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,31,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,32,15,80,$2221.02,$110.66,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,35,15,80,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
964,2,23,50,$6499.71,$323.83,PRINCIPAL RESIDENCE      ,$3253.41,SOUTHERN,11
964,3,23,50,$6243.44,$311.06,PRINCIPAL RESIDENCE      ,$3131.14,SOUTHERN,11
964,22,23,50,$4716.30,$234.98,PRINCIPAL RESIDENCE      ,$2413.08,SOUTHERN,11
20,36,15,80,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
966,30,24,20,$3623.03,$180.51,NOT A PRINCIPAL RESIDENCE,$1903.35,SOUTHERN,11
1360,13,3,40,$9724.85,$484.51,NOT A PRINCIPAL RESIDENCE,$11121.69,SOUTHEASTERN,12
1473,93,8,210,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$90.12,EASTERN,13
20,40,15,80,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1476B,21,8,160,$2090.64,$104.16,NOT A PRINCIPAL RESIDENCE,$2462.94,EASTERN,13
20,47,15,80,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
965,51,23,50,$4867.66,$242.52,PRINCIPAL RESIDENCE      ,$4950.26,SOUTHERN,11
1476F,14,8,160,$2259.24,$112.56,NOT A PRINCIPAL RESIDENCE,$2660.70,EASTERN,13
965,54,23,50,$4985.32,$248.38,PRINCIPAL RESIDENCE      ,$5103.36,SOUTHERN,11
20,047D,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
5387,703,27,240,$2691.60,$134.10,PRINCIPAL RESIDENCE      ,$394.88,NORTHEASTERN,3
965,56,23,50,$6678.07,$332.72,PRINCIPAL RESIDENCE      ,$2924.80,SOUTHERN,11
1477,66,8,70,$674.40,$33.60,PRINCIPAL RESIDENCE      ,$338.59,EASTERN,12
20,047H,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,048A,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1504,55,8,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,13
1662,11,7,180,$1234.15,$61.49,PRINCIPAL RESIDENCE      ,$1321.04,SOUTHEASTERN,13
20,049A,15,80,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,049C,15,80,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,049D,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
965,26,23,50,$23711.16,$1181.34,NOT A PRINCIPAL RESIDENCE,$12456.58,SOUTHERN,11
965,35,23,50,$18083.65,$900.96,NOT A PRINCIPAL RESIDENCE,$19177.83,SOUTHERN,11
965,65,23,50,$6293.66,$313.56,PRINCIPAL RESIDENCE      ,$1053.81,SOUTHERN,11
966,43,24,20,$8173.73,$407.23,PRINCIPAL RESIDENCE      ,$3706.96,SOUTHERN,11
966,55,24,20,$5920.49,$294.97,PRINCIPAL RESIDENCE      ,$2951.78,SOUTHERN,11
1479,44,8,180,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$37.40,EASTERN,12
20,049G,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,049H,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
7369,2,25,70,$3150.95,$156.99,NOT A PRINCIPAL RESIDENCE,$15.78,SOUTHERN,10
20,049J,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1479,46,8,180,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$37.40,EASTERN,12
20,51,15,80,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,051A,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,051B,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,051C,15,80,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
20,051D,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,051E,15,80,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,WESTERN,7
1425,7,3,60,$3595.29,$179.12,NOT A PRINCIPAL RESIDENCE,$3774.42,SOUTHEASTERN,12
20,54,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1425,32,3,60,$2998.83,$149.41,NOT A PRINCIPAL RESIDENCE,$3148.26,SOUTHEASTERN,12
1504,68,8,160,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$398.55,EASTERN,13
20,57,15,80,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,58,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,59,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,60,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,61,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,62,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,63,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,64,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1504,69,8,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,13
1428,30,3,90,$4036.67,$201.12,NOT A PRINCIPAL RESIDENCE,$4280.94,SOUTHEASTERN,12
20,65,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,66,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,67,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,68,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,69,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,70,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,71,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,72,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,73,15,80,,,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,74,15,80,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
20,75,15,80,$112.40,$5.60,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
7492B,005A,25,40,$2616.67,$130.37,PRINCIPAL RESIDENCE      ,$1298.92,SOUTHERN,10
1479,47,8,180,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$37.40,EASTERN,12
1483,39,8,170,$269.76,$13.44,NOT A PRINCIPAL RESIDENCE,$327.42,EASTERN,13
20,79,15,80,$112.40,$5.60,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
2171,45,20,60,$3313.55,$165.09,NOT A PRINCIPAL RESIDENCE,$3796.88,SOUTHWESTERN,9
7987,20,28,50,$2953.13,$147.13,NOT A PRINCIPAL RESIDENCE,$1720.27,SOUTHWESTERN,8
8393G,33,28,40,$5305.28,$264.32,NOT A PRINCIPAL RESIDENCE,$53.04,NORTHWESTERN,8
7958,31,28,50,$2930.65,$146.01,PRINCIPAL RESIDENCE      ,$241.00,SOUTHWESTERN,8
969,4,21,90,$9833.49,$489.92,NOT A PRINCIPAL RESIDENCE,$10.09,SOUTHERN,10
1505,17,8,160,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,EASTERN,13
20,90,15,80,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1505,40,8,160,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,EASTERN,13
967,38,24,40,$8410.51,$419.03,PRINCIPAL RESIDENCE      ,$1939.68,SOUTHERN,11
